episode,reward,avg_reward,epsilon
1,-10000,-10000,0.8427761816425141
2,-10000,-10000,0.7117934731122889
3,-10000,-10000,0.6089728948295834
4,0,0,0.6069410696098042
5,-10000,-10000,0.5175460189824821
6,0,0,0.5167117614801052
7,0,0,0.5158791708253301
8,-10000,-10000,0.44322793614477063
9,0,0,0.4425421662709448
10,0,0,0.441174734293059
11,0,0,0.44049306671926913
12,0,0,0.4398127611182002
13,0,0,0.43845622495476866
14,0,0,0.4377799889662596
15,0,0,0.43710510409815684
16,0,0,0.43643156765091984
17,0,0,0.4357593769304021
18,-10000,-10000,0.3776592835597282
19,0,0,0.3771045199411486
20,-10000,-10000,0.3291541138223234
21,0,0,0.32869626359752024
22,0,0,0.32823932815807644
23,0,0,0.3277833056762496
24,0,0,0.32732819432794924
25,0,0,0.32687399229272923
26,0,0,0.32596830889792544
27,0,0,0.32551682391560693
28,0,0,0.32506624100088477
29,0,0,0.3246165583514266
30,0,0,0.323272894025287
31,0,0,0.32282679448547613
32,0,0,0.32238158625314023
33,0,0,0.32193726754744584
34,0,0,0.32149383659111763
35,0,0,0.32105129161043106
36,0,0,0.32060963083520566
37,0,0,0.3197289548380934
38,0,0,0.3188517945089461
39,0,0,0.3184145283318607
40,0,0,0.3179781358131798
41,0,0,0.31754261520733285
42,0,0,0.31710796477223674
43,0,0,0.31667418276928916
44,0,0,0.3162412674633617
45,-10000,-10000,0.27882269126431647
46,0,0,0.27846540328885927
47,0,0,0.2781088291752532
48,0,0,0.2777529674972013
49,0,0,0.2773978168312564
50,0,0,0.27704337575681537
51,0,0,0.27633661671421844
52,0,0,0.2756326790612508
53,0,0,0.27528176473442656
54,0,0,0.2749315515348949
55,0,0,0.2738851047055123
56,0,0,0.27319095351460676
57,0,0,0.2728449177586787
58,0,0,0.2724995733826522
59,0,0,0.27215491900514915
60,0,0,0.27146767473399636
61,-10000,-10000,0.24123070562120938
62,-10000,-10000,0.21655867139111096
63,0,0,0.21539889323279338
64,0,0,0.21447938502380554
65,-10000,-10000,0.1963892579471821
66,-10000,-10000,0.18035021462644907
67,-10000,-10000,0.16644634389965163
68,0,0,0.16591689377269322
69,0,0,0.16578519173109013
70,0,0,0.16565375283034167
71,0,0,0.16539166234943597
72,0,0,0.16526100972091648
73,0,0,0.1651306181365229
74,0,0,0.16500048707468873
75,0,0,0.1648706160148895
76,0,0,0.1647410044376408
77,0,0,0.16461165182449622
78,0,0,0.16448255765804506
79,0,0,0.16435372142191051
80,0,0,0.16422514260074744
81,0,0,0.16409682068024045
82,0,0,0.1639687551471016
83,0,0,0.16384094548906866
84,0,0,0.16371339119490277
85,-10000,-10000,0.15247803826543763
86,0,0,0.15237318707504754
87,0,0,0.15226854537747558
88,-10000,-10000,0.14287953889504768
89,0,0,0.14186268106424352
90,-10000,-10000,0.13448052815243866
91,0,0,0.134411636011239
92,0,0,0.13434288151662932
