episode,reward,avg_reward,steps,epsilon
80,-10000.0,-1750.0,7,0.998412901026858
81,50000.0,-1111.111111111111,15,0.9983455225860041
82,50000.0,-487.8048780487805,17,0.9982691664617656
83,-10000.0,-602.4096385542168,3,0.9982556925253233
84,-10000.0,-714.2857142857143,1,0.998251201258089
85,-10000.0,-823.5294117647059,5,0.9982287452587586
86,-10000.0,-930.2325581395348,1,0.9982242541262601
87,-10000.0,-1034.4827586206898,13,0.9981658714471996
88,-10000.0,-1136.3636363636363,1,0.9981613806290695
89,-10000.0,-1235.9550561797753,5,0.9981389268752268
90,-10000.0,-1333.3333333333333,15,0.9980715689816637
91,-10000.0,-1428.5714285714287,3,0.9980580980091616
92,-10000.0,-1521.7391304347825,1,0.9980536077298973
93,50000.0,-967.741935483871,8,0.9980176863040213
94,-10000.0,-1063.8297872340424,4,0.9979997261298976
95,-10000.0,-1157.8947368421052,1,0.9979952361424919
96,-10000.0,-1250.0,8,0.9979593170514328
97,50000.0,-721.6494845360825,12,0.9979054411087042
98,-10000.0,-816.3265306122449,1,0.9979009515927224
99,50000.0,-303.030303030303,6,0.997874014968226
100,-10000.0,-400.0,3,0.9978605469590118
101,50000.0,200.0,16,0.9977887209883323
102,-10000.0,200.0,5,0.9977662765508641
103,-10000.0,200.0,7,0.9977348552810603
104,50000.0,800.0,4,0.9977169007635005
105,-10000.0,800.0,9,0.9976765044118908
106,-10000.0,800.0,3,0.9976630393653128
107,-10000.0,800.0,3,0.9976495745207089
108,-10000.0,800.0,2,0.997640598069846
109,-10000.0,800.0,11,0.9975912291946087
110,-10000.0,200.0,4,0.9975732775495418
111,-10000.0,200.0,14,0.9975104496191166
112,50000.0,800.0,2,0.9975014745594957
113,-10000.0,800.0,1,0.9974969870633418
114,-10000.0,800.0,23,0.9973937808443007
115,-10000.0,800.0,4,0.9973758331481615
116,-10000.0,800.0,6,0.9973489122769821
117,-10000.0,800.0,1,0.9973444255436376
118,-10000.0,200.0,1,0.9973399388327266
