Tournament,Step,PlayerID,Action,StepReward,ObservationDict,AgentPosition,IsRFIOpportunity,RaiserPosition
2,31,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 0, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 50, ""2"": 100, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""5D"", ""4S""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 10150.0, ""1"": 10200.0, ""2"": 9750.0, ""3"": 10150.0, ""4"": 9850.0, ""5"": 9750.0}, ""stage"": ""preflop""}",N/A,False,2
2,34,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 50, ""3"": 100, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""8S"", ""JH""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 10150.0, ""1"": 10200.0, ""2"": 9850.0, ""3"": 10050.0, ""4"": 9850.0, ""5"": 9750.0}, ""stage"": ""preflop""}",N/A,False,3
2,37,1,call,0.00,"{""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 50, ""4"": 100, ""5"": 9750.0}, ""current_player_id"": 0, ""hand"": [""2C"", ""3D""], ""legal_actions"": [""all_in"", ""call"", ""fold""], ""num_active_players"": 5, ""player_id"": 0, ""pot"": 9900.0, ""small_blind"": 50, ""stacks"": {""0"": 10150.0, ""1"": 10200.0, ""2"": 9850.0, ""3"": 10150.0, ""4"": 9750.0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,5
2,39,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 9750.0, ""1"": 0, ""2"": 9750.0, ""3"": 9750.0, ""4"": 100, ""5"": 9750.0}, ""current_player_id"": 0, ""hand"": [""2C"", ""3D""], ""legal_actions"": [""all_in"", ""check"", ""fold""], ""num_active_players"": 5, ""player_id"": 0, ""pot"": 39100.0, ""small_blind"": 50, ""stacks"": {""0"": 400.0, ""1"": 10200.0, ""2"": 100.0, ""3"": 450.0, ""4"": 9750.0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,5
2,44,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 4, ""community_cards"": [], ""current_bets"": {""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 100}, ""current_player_id"": 0, ""hand"": [""2D"", ""3H""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""check"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 200, ""small_blind"": 50, ""stacks"": {""0"": 300.0, ""1"": 10200.0, ""2"": 100.0, ""3"": 450.0, ""4"": 9850.0, ""5"": 38900.0}, ""stage"": ""preflop""}",N/A,False,0
2,45,1,None,0.00,"{""big_blind"": 100, ""button_pos"": 4, ""community_cards"": [], ""current_bets"": {""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 100}, ""current_player_id"": 0, ""hand"": [""2D"", ""3H""], ""legal_actions"": [], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 0, ""small_blind"": 50, ""stacks"": {""0"": 300.0, ""1"": 10200.0, ""2"": 100.0, ""3"": 450.0, ""4"": 9850.0, ""5"": 39100.0}, ""stage"": ""preflop""}",N/A,False,0
2,46,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 50, ""1"": 100, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 39100.0}, ""current_player_id"": 0, ""hand"": [""TS"", ""TD""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 5, ""player_id"": 0, ""pot"": 39250.0, ""small_blind"": 50, ""stacks"": {""0"": 250.0, ""1"": 10100.0, ""2"": 100.0, ""3"": 450.0, ""4"": 9850.0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,5
2,49,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 0, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 50, ""2"": 100, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""KD"", ""8H""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 5, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 250.0, ""1"": 10050.0, ""2"": 0.0, ""3"": 450.0, ""4"": 9850.0, ""5"": 39250.0}, ""stage"": ""preflop""}",N/A,False,2
2,52,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 50, ""3"": 100, ""4"": 100, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""7C"", ""AH""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 250, ""small_blind"": 50, ""stacks"": {""0"": 250.0, ""1"": 10050.0, ""2"": 100.0, ""3"": 350.0, ""4"": 9750.0, ""5"": 39250.0}, ""stage"": ""preflop""}",N/A,False,3
2,55,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 2, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 50, ""4"": 100, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""9S"", ""9H""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 250.0, ""1"": 10050.0, ""2"": 450.0, ""3"": 250.0, ""4"": 9600.0, ""5"": 39250.0}, ""stage"": ""preflop""}",N/A,False,4
2,61,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 50, ""1"": 100, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""9C"", ""3C""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 250.0, ""1"": 10100.0, ""2"": 450.0, ""3"": 250.0, ""4"": 9550.0, ""5"": 39250.0}, ""stage"": ""preflop""}",N/A,False,1
2,62,1,None,0.00,"{""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 50, ""1"": 100, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""9C"", ""3C""], ""legal_actions"": [], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 0, ""small_blind"": 50, ""stacks"": {""0"": 250.0, ""1"": 10250.0, ""2"": 450.0, ""3"": 250.0, ""4"": 9550.0, ""5"": 39250.0}, ""stage"": ""preflop""}",N/A,False,1
2,63,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 0, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 50, ""2"": 100, ""3"": 250.0, ""4"": 0, ""5"": 39250.0}, ""current_player_id"": 0, ""hand"": [""TH"", ""QC""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 39650.0, ""small_blind"": 50, ""stacks"": {""0"": 250.0, ""1"": 10200.0, ""2"": 350.0, ""3"": 0.0, ""4"": 9550.0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,5
2,66,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 50, ""3"": 100, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""QD"", ""AS""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 5, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 250.0, ""1"": 10200.0, ""2"": 300.0, ""3"": 39550.0, ""4"": 9550.0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,3
2,69,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [], ""current_bets"": {""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 100, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""KS"", ""4D""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""check"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 200, ""small_blind"": 50, ""stacks"": {""0"": 150.0, ""1"": 10650.0, ""2"": 0.0, ""3"": 39550.0, ""4"": 9450.0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,0
2,70,1,None,0.00,"{""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [], ""current_bets"": {""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 100, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""KS"", ""4D""], ""legal_actions"": [], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 0, ""small_blind"": 50, ""stacks"": {""0"": 150.0, ""1"": 10650.0, ""2"": 0.0, ""3"": 39550.0, ""4"": 9650.0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,0
2,71,1,fold,0.00,"{""big_blind"": 100, ""button_pos"": 4, ""community_cards"": [], ""current_bets"": {""0"": 50, ""1"": 100, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""KH"", ""2S""], ""legal_actions"": [""all_in"", ""call"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 100.0, ""1"": 10550.0, ""2"": 0.0, ""3"": 39550.0, ""4"": 9650.0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,1
2,72,1,None,0.00,"{""big_blind"": 100, ""button_pos"": 4, ""community_cards"": [], ""current_bets"": {""0"": 50, ""1"": 100, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""KH"", ""2S""], ""legal_actions"": [], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 0, ""small_blind"": 50, ""stacks"": {""0"": 100.0, ""1"": 10700.0, ""2"": 0.0, ""3"": 39550.0, ""4"": 9650.0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,1
2,73,1,all_in,0.00,"{""big_blind"": 100, ""button_pos"": 0, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 50, ""2"": 0, ""3"": 100, ""4"": 9650.0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""7S"", ""QS""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 3, ""player_id"": 0, ""pot"": 9800.0, ""small_blind"": 50, ""stacks"": {""0"": 100.0, ""1"": 10650.0, ""2"": 0.0, ""3"": 39450.0, ""4"": 0.0, ""5"": 0.0}, ""stage"": ""preflop""}",N/A,False,4
